MS46322A
!12/11/2019.11:53:56.PM
!CHANNEL.1
!TR.MEASUREMENT
!RF.CORRECTION: ONE.PORT.CAL.PORT[1]
!AVERAGING.OFF
!IF.BANDWIDTH: 1KHZ
!NUMBER.OF.TRACES: 4
!TRACE:       	TRACE.1           	TRACE.2           	TRACE.3           	TRACE.4           
!PARAMETER:   	S11               	S12               	S21               	S22               
!PORT:        	PORT1             	PORT2             	PORT1             	PORT2             
!GRAPH:       	LOGMAG            	LOGMAG            	LOGMAG            	LOGMAG            
!SMOOTHING:   	OFF               	OFF               	OFF               	OFF               
!TIMEDOMAIN:  	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     	NOT.INSTALLED     
!SWEEPTYPE: FREQ.SWEEP(Linear)
PNT	FREQ1.GHZ	LOGMAG1	FREQ2.GHZ	LOGMAG2	FREQ3.GHZ	LOGMAG3	FREQ4.GHZ	LOGMAG4
118	2.755000000	-8.800357E+000	2.755000000	-9.822601E+001	2.755000000	-8.348460E+001	2.755000000	-6.362280E-001
119	2.770000000	-7.505796E+000	2.770000000	-1.011785E+002	2.770000000	-8.422597E+001	2.770000000	-4.190292E-001
120	2.785000000	-6.508917E+000	2.785000000	-1.066733E+002	2.785000000	-8.500266E+001	2.785000000	-2.665283E-001
121	2.800000000	-6.106014E+000	2.800000000	-1.014337E+002	2.800000000	-8.920676E+001	2.800000000	-1.959709E-001
122	2.815000000	-5.723118E+000	2.815000000	-9.904486E+001	2.815000000	-8.881618E+001	2.815000000	-2.053315E-001
123	2.830000000	-5.039254E+000	2.830000000	-9.399004E+001	2.830000000	-8.503277E+001	2.830000000	-2.820677E-001
124	2.845000000	-4.738443E+000	2.845000000	-9.011133E+001	2.845000000	-8.522968E+001	2.845000000	-4.193414E-001
125	2.860000000	-4.471846E+000	2.860000000	-9.233870E+001	2.860000000	-8.488101E+001	2.860000000	-6.036059E-001
126	2.875000000	-4.081846E+000	2.875000000	-8.970752E+001	2.875000000	-8.616640E+001	2.875000000	-8.218355E-001
127	2.890000000	-3.735951E+000	2.890000000	-9.461349E+001	2.890000000	-9.261922E+001	2.890000000	-1.060336E+000
128	2.905000000	-3.641699E+000	2.905000000	-9.385172E+001	2.905000000	-9.236062E+001	2.905000000	-1.300263E+000
129	2.920000000	-3.000282E+000	2.920000000	-9.456923E+001	2.920000000	-9.161598E+001	2.920000000	-1.546335E+000
130	2.935000000	-2.281807E+000	2.935000000	-8.822464E+001	2.935000000	-9.632896E+001	2.935000000	-1.782733E+000
131	2.950000000	-2.131563E+000	2.950000000	-8.773678E+001	2.950000000	-1.015872E+002	2.950000000	-2.008765E+000
132	2.965000000	-2.259887E+000	2.965000000	-9.214387E+001	2.965000000	-1.014051E+002	2.965000000	-2.208404E+000
133	2.980000000	-2.494507E+000	2.980000000	-9.495907E+001	2.980000000	-9.562813E+001	2.980000000	-2.378349E+000
134	2.995000000	-2.727654E+000	2.995000000	-9.398933E+001	2.995000000	-9.286322E+001	2.995000000	-2.507375E+000
135	3.010000000	-3.068467E+000	3.010000000	-1.102623E+002	3.010000000	-9.618790E+001	3.010000000	-2.591732E+000
136	3.025000000	-3.435754E+000	3.025000000	-1.221046E+002	3.025000000	-9.622626E+001	3.025000000	-2.625949E+000
137	3.040000000	-3.359261E+000	3.040000000	-1.025692E+002	3.040000000	-9.546132E+001	3.040000000	-2.608417E+000
138	3.055000000	-3.137826E+000	3.055000000	-1.097925E+002	3.055000000	-9.651882E+001	3.055000000	-2.538407E+000
139	3.070000000	-2.804674E+000	3.070000000	-1.134112E+002	3.070000000	-9.953022E+001	3.070000000	-2.418817E+000
140	3.085000000	-2.380480E+000	3.085000000	-1.039626E+002	3.085000000	-1.027242E+002	3.085000000	-2.251334E+000
141	3.100000000	-2.026310E+000	3.100000000	-9.730432E+001	3.100000000	-9.743993E+001	3.100000000	-2.058650E+000
142	3.115000000	-1.800487E+000	3.115000000	-9.757214E+001	3.115000000	-9.542978E+001	3.115000000	-1.850523E+000
143	3.130000000	-1.730879E+000	3.130000000	-9.699930E+001	3.130000000	-9.133357E+001	3.130000000	-1.655645E+000
144	3.145000000	-1.803976E+000	3.145000000	-9.786114E+001	3.145000000	-9.084060E+001	3.145000000	-1.487671E+000
145	3.160000000	-1.910037E+000	3.160000000	-9.587857E+001	3.160000000	-9.072983E+001	3.160000000	-1.360764E+000
146	3.175000000	-2.016029E+000	3.175000000	-9.382413E+001	3.175000000	-9.167224E+001	3.175000000	-1.290843E+000
147	3.190000000	-2.095080E+000	3.190000000	-9.666589E+001	3.190000000	-9.009329E+001	3.190000000	-1.278744E+000
148	3.205000000	-2.127189E+000	3.205000000	-9.549473E+001	3.205000000	-9.168848E+001	3.205000000	-1.327266E+000
149	3.220000000	-2.092137E+000	3.220000000	-9.490752E+001	3.220000000	-9.304488E+001	3.220000000	-1.412221E+000
150	3.235000000	-1.980194E+000	3.235000000	-9.493847E+001	3.235000000	-9.379002E+001	3.235000000	-1.527861E+000
151	3.250000000	-1.967398E+000	3.250000000	-9.386437E+001	3.250000000	-9.483041E+001	3.250000000	-1.659828E+000
152	3.265000000	-1.731599E+000	3.265000000	-9.525349E+001	3.265000000	-9.485744E+001	3.265000000	-1.800366E+000
153	3.280000000	-1.571961E+000	3.280000000	-9.422218E+001	3.280000000	-9.657773E+001	3.280000000	-1.940912E+000
154	3.295000000	-1.472533E+000	3.295000000	-9.452104E+001	3.295000000	-9.536531E+001	3.295000000	-2.079791E+000
155	3.310000000	-1.462864E+000	3.310000000	-1.008405E+002	3.310000000	-1.162705E+002	3.310000000	-2.203957E+000
156	3.325000000	-1.527982E+000	3.325000000	-1.053579E+002	3.325000000	-1.143269E+002	3.325000000	-2.316144E+000
157	3.340000000	-1.689671E+000	3.340000000	-1.108958E+002	3.340000000	-1.050468E+002	3.340000000	-2.412021E+000
158	3.355000000	-1.995008E+000	3.355000000	-1.045259E+002	3.355000000	-1.012012E+002	3.355000000	-2.489309E+000
159	3.370000000	-2.163155E+000	3.370000000	-1.133367E+002	3.370000000	-1.111485E+002	3.370000000	-2.548737E+000
160	3.385000000	-2.400559E+000	3.385000000	-1.035361E+002	3.385000000	-1.041534E+002	3.385000000	-2.586441E+000
161	3.400000000	-2.466578E+000	3.400000000	-1.061248E+002	3.400000000	-1.075223E+002	3.400000000	-2.602348E+000
162	3.415000000	-2.442295E+000	3.415000000	-1.021205E+002	3.415000000	-1.065702E+002	3.415000000	-2.598667E+000
163	3.430000000	-2.150101E+000	3.430000000	-1.072243E+002	3.430000000	-1.025094E+002	3.430000000	-2.581744E+000
164	3.445000000	-1.839563E+000	3.445000000	-1.029787E+002	3.445000000	-1.090462E+002	3.445000000	-2.554107E+000
165	3.460000000	-1.499141E+000	3.460000000	-1.043925E+002	3.460000000	-1.094077E+002	3.460000000	-2.521085E+000
166	3.475000000	-1.308413E+000	3.475000000	-9.912047E+001	3.475000000	-9.858125E+001	3.475000000	-2.484409E+000
167	3.490000000	-1.260114E+000	3.490000000	-9.688016E+001	3.490000000	-9.595008E+001	3.490000000	-2.446620E+000
168	3.505000000	-1.286340E+000	3.505000000	-9.698227E+001	3.505000000	-9.951362E+001	3.505000000	-2.409457E+000
169	3.520000000	-1.439924E+000	3.520000000	-1.045039E+002	3.520000000	-1.004839E+002	3.520000000	-2.374490E+000
170	3.535000000	-1.499140E+000	3.535000000	-1.043869E+002	3.535000000	-1.048090E+002	3.535000000	-2.337541E+000
171	3.550000000	-1.649988E+000	3.550000000	-1.125529E+002	3.550000000	-1.035383E+002	3.550000000	-2.298918E+000
